latitude,longitude,ignition_date,area_ha,state,shape_area
-29.20868833,151.49414461660018,2009-12-05T00:00:00.000Z,22392,NSW (New South Wales),0.020805007
-33.85918444,150.38507798390896,2012-12-04T00:00:00.000Z,539,NSW (New South Wales),0.000525428
-25.3650233,114.59693420931866,2012-01-20T00:00:00.000Z,50,WA (Western Australia),4.4636365374e-05
-32.05151197,151.67238213777955,2012-11-02T00:00:00.000Z,131,NSW (New South Wales),0.00012463
-24.86691517,147.4404839379079,1990-11-21T00:00:00.000Z,1851,QLD (Queensland),0.001653591
-35.85224947,149.94301565848835,1899-11-30T00:00:00.000Z,34,NSW (New South Wales),3.4270399283e-05
-29.63881565,153.2589592469031,1899-11-30T00:00:00.000Z,902,NSW (New South Wales),0.000840057
-36.50242367,141.52414226441311,1998-01-06T00:00:00.000Z,728,VIC (Victoria),0.00074273
-29.18029797,152.81884334800336,2017-08-18T00:00:00.000Z,883,NSW (New South Wales),0.000819068
-28.85733837,152.18997820349355,1988-10-14T00:00:00.000Z,144,NSW (New South Wales),0.00013303
-32.73983999,150.5704786601576,1899-11-30T00:00:00.000Z,506,NSW (New South Wales),0.000486487
-30.16802276,152.41669423716382,1899-11-30T00:00:00.000Z,175,NSW (New South Wales),0.000163888
-29.41728395,152.53245069912967,2002-07-10T00:00:00.000Z,717,NSW (New South Wales),0.000666098
-14.54767266,144.19842458421337,2018-04-20T00:00:00.000Z,75404,QLD (Queensland),0.065630361
-27.24757169,125.23031838166548,2009-11-25T00:00:00.000Z,211,WA (Western Australia),0.000192652
-17.13779469,125.55973655337999,2022-10-11T00:00:00.000Z,7321,WA (Western Australia),0.006929899
-42.36484957,146.7148272,2003-11-15T00:00:00.000Z,1259,TAS (Tasmania),0.001375644
-15.84738637,128.81908118255302,2017-09-16T00:00:00.000Z,30789,WA (Western Australia),0.02629375
-33.40714503,149.8494438494576,2010-05-19T00:00:00.000Z,15,NSW (New South Wales),1.413139762e-05
-28.92328115,152.11087731196108,2017-02-04T00:00:00.000Z,465,NSW (New South Wales),0.0004301
-29.58700759,152.81836593560965,2008-10-30T00:00:00.000Z,411,NSW (New South Wales),0.000382645
-15.56528523,128.3217799719433,2017-10-23T00:00:00.000Z,321,WA (Western Australia),0.000272063
-42.69349984,146.5688503654757,1961-01-01T00:00:00.000Z,982,TAS (Tasmania),0.001138977
-36.1237585,147.3100682875704,2014-01-19T00:00:00.000Z,77,VIC (Victoria),7.736035468e-05
-40.99304614,145.66810618485087,2016-01-21T00:00:00.000Z,69,TAS (Tasmania),7.3694278854e-05
-35.66260455,140.21264661764275,1986-11-28T00:00:00.000Z,91,SA (South Australia),9.015593605e-05
-34.81639203,138.84106777265353,1990-12-31T00:00:00.000Z,671,SA (South Australia),0.00066084
-15.00864352,145.09985298919017,2014-08-21T00:00:00.000Z,58163,QLD (Queensland),0.05044375
-28.03557629,152.41745029388235,1980-10-23T00:00:00.000Z,43,QLD (Queensland),3.9192466375e-05
-33.16642929,116.32029520313999,2004-10-28T00:00:00.000Z,139,WA (Western Australia),0.000134488
-43.03386127,147.13980198680434,1991-01-01T00:00:00.000Z,2370,TAS (Tasmania),0.002617583
-37.44808008,149.20680792405796,1999-01-01T00:00:00.000Z,11,VIC (Victoria),1.0929324617e-05
-24.16863349,151.31828436546448,2003-01-20T00:00:00.000Z,9282,QLD (Queensland),0.008246624
-33.8525731,122.97794553005835,2006-11-16T00:00:00.000Z,6170,WA (Western Australia),0.00600997
-36.19141661,149.99185178009282,1899-11-30T00:00:00.000Z,72,NSW (New South Wales),7.1868410942e-05
-26.29527781,150.35913497212476,2006-01-04T00:00:00.000Z,309,QLD (Queensland),0.000279643
-35.54997945,149.25675326905767,1899-11-30T00:00:00.000Z,2214,NSW (New South Wales),0.002200837
-35.89639931,148.66968310818697,1899-11-30T00:00:00.000Z,1438,NSW (New South Wales),0.00143519
-32.89604919,151.41170626642372,1899-11-30T00:00:00.000Z,11,NSW (New South Wales),1.0710009974e-05
-33.26212393,116.18684285120884,2010-07-25T00:00:00.000Z,10,WA (Western Australia),9.61327305e-06
-26.14860446,130.65306624460337,1995-12-31T00:00:00.000Z,552,SA (South Australia),0.000498628
-35.67336814,140.39774943156266,2006-01-20T00:00:00.000Z,62591,SA (South Australia),0.066193873
-31.08412442,152.44975220877924,2017-08-16T00:00:00.000Z,3508,NSW (New South Wales),0.003409909
-36.30525787,148.51379819810148,1899-11-30T00:00:00.000Z,42,NSW (New South Wales),4.2118911097e-05
-37.32658676,148.3199281091242,1966-01-01T00:00:00.000Z,72,VIC (Victoria),7.2956115673e-05
-31.05298488,133.2734451332656,2002-12-31T00:00:00.000Z,205,SA (South Australia),0.00019357
-31.23232951,133.7081025920702,1988-12-31T00:00:00.000Z,70,SA (South Australia),6.6049623911e-05
-15.77447947,128.55286732953817,2012-08-04T00:00:00.000Z,40901,WA (Western Australia),0.035899781
-37.73195116,149.36114803832956,1998-01-01T00:00:00.000Z,29,VIC (Victoria),2.9214541883e-05
-42.81746597,146.7215914918413,1998-03-16T00:00:00.000Z,130,TAS (Tasmania),0.000143126
-33.16867983,151.59629915921798,1997-08-30T00:00:00.000Z,23,NSW (New South Wales),2.2541566068e-05
-33.40171035,149.8290814852158,1899-11-30T00:00:00.000Z,70,NSW (New South Wales),6.7875435434e-05
-20.60938766,116.47970489371802,2016-06-03T00:00:00.000Z,108,WA (Western Australia),9.3946795914e-05
-26.78859119,128.9859299669923,2005-12-31T00:00:00.000Z,27658,SA (South Australia),0.025107876
-34.30888537,150.88122224049818,1967-12-20T00:00:00.000Z,12,NSW (New South Wales),1.2034974134e-05
-28.25575682,140.91278678293332,2012-01-23T00:00:00.000Z,8256,SA (South Australia),0.007593944
-20.68267074,115.44015771660068,2013-10-28T00:00:00.000Z,656,WA (Western Australia),0.000595562
-42.20159519,145.1962286067441,2015-11-11T00:00:00.000Z,36,TAS (Tasmania),3.9170718082e-05
-27.62950891,128.94181119281524,2002-12-31T00:00:00.000Z,15308,SA (South Australia),0.014248864
-27.5345863,125.3744922317666,2009-11-25T00:00:00.000Z,56,WA (Western Australia),5.1277170087e-05
